Date,Description,Card Member,Account #,Amount
07/01/2024,UBER EATS ORDER,J RIVERA,-31009,14.01
07/01/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,34.93
07/01/2024,SHELL OIL 57442,J RIVERA,-31009,38.86
07/02/2024,TRADER JOE'S #552,J RIVERA,-31009,41.97
07/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
07/03/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,14.33
07/03/2024,SHELL OIL 57442,J RIVERA,-31009,50.99
07/04/2024,SAFEWAY #1781,J RIVERA,-31009,56.48
07/05/2024,SHELL OIL 57442,J RIVERA,-31009,61.23
07/06/2024,PEETS COFFEE #117,J RIVERA,-31009,6.36
07/06/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.96
07/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
07/07/2024,TRADER JOE'S #552,J RIVERA,-31009,57.44
07/09/2024,WALGREENS #3321,J RIVERA,-31009,38.37
07/10/2024,SHELL OIL 57442,J RIVERA,-31009,53.08
07/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
07/12/2024,SWEETGREEN MISSION,J RIVERA,-31009,20.80
07/13/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,7.23
07/13/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,16.00
07/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
07/14/2024,SQ *NOODLE BAR,J RIVERA,-31009,16.84
07/14/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,44.15
07/15/2024,UBER EATS ORDER,J RIVERA,-31009,35.11
07/15/2024,SWEETGREEN MISSION,J RIVERA,-31009,24.36
07/15/2024,PEETS COFFEE #117,J RIVERA,-31009,7.64
07/15/2024,TRADER JOE'S #552,J RIVERA,-31009,54.59
07/16/2024,TRADER JOE'S #552,J RIVERA,-31009,72.04
07/16/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,17.55
07/17/2024,UBER EATS ORDER,J RIVERA,-31009,12.18
07/17/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,15.42
07/17/2024,TARGET 00012345,J RIVERA,-31009,35.36
07/18/2024,SAFEWAY #1781,J RIVERA,-31009,56.59
07/19/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,41.59
07/21/2024,SAFEWAY #1781,J RIVERA,-31009,36.29
07/21/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,28.55
07/22/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,15.27
07/22/2024,PEETS COFFEE #117,J RIVERA,-31009,5.86
07/23/2024,TRADER JOE'S #552,J RIVERA,-31009,56.59
07/24/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,45.37
07/24/2024,ETSY.COM - HANDMADE,J RIVERA,-31009,48.84
07/25/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,30.42
07/26/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.76
07/27/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.90
07/28/2024,TRADER JOE'S #552,J RIVERA,-31009,37.25
07/29/2024,SAFEWAY #1781,J RIVERA,-31009,33.76
07/31/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,12.19
07/31/2024,STARBUCKS STORE 08812,J RIVERA,-31009,7.84
07/31/2024,PEETS COFFEE #117,J RIVERA,-31009,6.12
07/31/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,18.25
07/31/2024,AMC THEATRES 4410,J RIVERA,-31009,33.16
08/02/2024,STARBUCKS STORE 08812,J RIVERA,-31009,6.63
08/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
08/03/2024,SHELL OIL 57442,J RIVERA,-31009,55.47
08/03/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,33.04
08/04/2024,SWEETGREEN MISSION,J RIVERA,-31009,25.19
08/04/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,5.93
